friendlyId,buildingName,email,lat,lng,name,operatingHours,phone,postalCode,streetName,unitNo,website,availability,block,about,price,dropoffPickupAvailability,googleReviews,distanceFromHome
NTUFSCY-P-CBN,Ci Yuan Community Club,seniordaycare@ntuchealth.sg,1.37532253773567,103.88293193004,NTUC Health Senior Day Care (Ci Yuan),Mon - Fri: 7.00am - 7.00pm,67156762,538776,Hougang Ave 9,#03-01,https://ntuchealth.sg/elderly-care/services/day-care/dementia-day-care,NO_WEEKENDS_AND_EVENINGS,51,,,,,
NTUFSSC-P-DCM,,seniordaycare@ntuchealth.sg,1.35246731376429,103.87210276228,NTUC Health Senior Day Care (Serangoon Central),Mon - Fri: 7.00am - 7.00pm,67156762,550264,Serangoon Central,#01-207,https://ntuchealth.sg/elderly-care/services/day-care/dementia-day-care,NO_WEEKENDS_AND_EVENINGS,264,,,,,
NTUFSTP-P-DCM,,seniordaycare@ntuchealth.sg,1.33172963873735,103.842682325182,NTUC Health Senior Day Care (Toa Payoh),Mon - Fri: 7.00am - 7.00pm,67156762,310169,Toa Payoh Lorong 1,#01-1052,https://ntuchealth.sg/elderly-care/services/day-care/dementia-day-care,NO_WEEKENDS_AND_EVENINGS,169,,,,,
CarHTPE-P-DCM,,scctpe@carecorner.org.sg,1.33372621378708,103.855718395843,Care Corner Senior Care Centre (Toa Payoh East),Mon - Fri: 8.30am - 5.30pm,69711190,311261,Toa Payoh East (Apex),#01-03,https://www.carecorner.org.sg/seniors-services,NO_WEEKENDS_AND_EVENINGS,261A,,,,,
Fu HGCC-P-DCM,Fu Hui Link,enquiry@FHGCC.org.sg,1.38929190736706,103.900231388203,Fu Hui Golden Care Centre,Mon - Fri: 8.30am - 5.30pm,67158880,544644,Compassvale Walk,,https://sbws.org.sg/,NO_WEEKENDS_AND_EVENINGS,19,,,,,
NTUMWSC-P-DCM,,seniordaycare@ntuchealth.sg,1.28434759209725,103.821772687395,NTUC Health Day Centre for Seniors (May Wong Social Centre),Mon - Fri: 7.00am - 7.00pm,67156767,151117,Bukit Merah View,#01-205,http://www.ntuceldercare.org.sg,NO_WEEKENDS_AND_EVENINGS,117,,,,,
NTUFSRM-P-DCM,Radin Mas Community Club,seniordaycare@ntuchealth.sg,1.27580647025274,103.819844388996,NTUC Health Senior Day Care (Radin Mas),Mon - Fri: 7.00am - 7.00pm,67156762,098917,Telok Blangah Crescent,#03-01,https://ntuchealth.sg/elderly-care/services/day-care/dementia-day-care,NO_WEEKENDS_AND_EVENINGS,51,,,,,
SheAAHS-P-DCM,,aah@shenghong.org.sg,1.33020804167321,103.874549888013,Sheng Hong Active Ageing Hub @ Sennett,Mon - Fri: 7.00am - 7.00pm,62390933,348537,Macpherson Road,,http://shenghong.org.sg,NO_WEEKENDS_AND_EVENINGS,175,,,,,
St SSCQ-P-DCM,,sasc_queenstown@sasc.org.sg,1.29815242110398,103.80803988653,St Andrew's Senior Care (Queenstown),Mon - Fri: 8.00am - 5.30pm,68774681,149380,Jalan Penjara,,https://www.samh.org.sg/st-andrews-senior-care/,NO_WEEKENDS_AND_EVENINGS,11,,,,,
VanSCCT-P-DCM,Tampines Care Home,vsc_tampines@vanguardhealthcare.com.sg,1.36331863244646,103.937077670351,Vanguard Senior Care Centre (Tampines),Mon - Fri: 7.00am - 7.00pm,65419503,528564,Tampines Street 61,,https://www.carehome.com.sg,NO_WEEKENDS_AND_EVENINGS,31,,,,,
